ヴィグナ	びぐな	名前(名)
クーリエ	くーりえ	名前(名)
スカベンジャー	すかべんじゃー	名前(名)
テンニンカ	てんにんか	名前(名)
ビーンストーク	びーんすとーく	名前(名)
アレーン	あれーん	名前(名)
ウタゲ	うたげ	名前(名)
エステル	えすてる	名前(名)
カッター	かったー	名前(名)
コンビクション	こんびくしょん	名前(名)
ジャッキー	じゃっきー	名前(名)
ドーベルマン	どーべるまん	名前(名)
ビーハンター	びーはんたー	名前(名)
フロストリーフ	ふろすとりーふ	名前(名)
マトイマル	まといまる	名前(名)
ムース	むーす	名前(名)
羅小黒	ろしゃおへい	名前(名)
クオーラ	くおーら	名前(名)
グム	ぐむ	名前(名)
ジュナー	じゅむ	名前(名)
バブル	ばぶる	名前(名)
マッターホルン	まったーほるん	名前(名)
アシッドドロップ	あしっどどろっぷ	名前(名)
アンブリエル	あんぶりえる	名前(名)
ヴァーミル	ばーみる	名前(名)
ジェシカ	じぇしか	名前(名)
シラユキ	しらゆき	名前(名)
パインコーン	ばいんこーん	名前(名)
メイ	めい	名前(名)
メテオ	めてお	名前(名)
インディゴ	いんでぃご	名前(名)
カシャ	かしゃ	名前(名)
ギターノ	ぎたーの	名前(名)
グレイ	ぐれい	名前(名)
プリン	ぷりん	名前(名)
ヘイズ	へいず	名前(名)
ガヴィル	がびる	名前(名)
ススーロ	すすーろ	名前(名)
セイリュウ	せいりゅう	名前(名)
チェストナット	ちぇすとなっと	名前(名)
パフューマー	ぱふゅーまー	名前(名)
ミルラ	みるら	名前(名)
アーススピリット	あーすすぴりっと	名前(名)
ディピカ	でぃぴか	名前(名)
ポデンコ	ぽでんこ	名前(名)
ロベルタ	ろべるた	名前(名)
イーサン	いーさん	名前(名)
グラベル	ぐらべる	名前(名)
ジェイ	じぇい	名前(名)
ショウ	しょう	名前(名)
ロープ	ろーぷ	名前(名)
