#表記	読み	クラス
#---バトロワ用語---
導線	どうせん	固有名詞
特性	とくせい	固有名詞
禁止区域	きんしくいき	固有名詞
衛星レーダー	えいせいれーだー	固有名詞
セーフゾーン	せーふぞーん	固有名詞
CCTV	しーしーてぃーびー	固有名詞
転送ドローン	てんそうどろーん	固有名詞
V-Pad	ぶいぱっど	固有名詞
安定剤	あんていざい	固有名詞
#---コバルト用語---
インフュージョン	いんふゅーじょん	固有名詞
増幅装置	ぞうふくそうち	固有名詞
加速境界	かそくきょうかい	固有名詞
#---オブジェクト---
航空補給箱	こうくうほきゅうばこ	固有名詞
採集物	さいしゅうぶつ	固有名詞
ハイパーループ	はいぱーるーぷ	固有名詞
保安カメラ	ほあんかめら	固有名詞
保安コンソール	ほあんこんそーる	固有名詞
合成機	ごうせいき	固有名詞
ディプロイングループ	でぃぷろいんぐるーぷ	固有名詞
ヒールパック	ひーるぱっく	固有名詞
シールドパック	しーるどぱっく	固有名詞
ジャンプ·パドル	じゃんぷぱどる	固有名詞
Kiosk	きおすく	固有名詞
転送補給箱	てんそうほきゅうばこ	固有名詞
生命の木	せいめいのき	固有名詞
隕石	いんせき	固有名詞
#---熟練度---
熟練度	じゅくれんど	固有名詞
トラップ熟練度	とらっぷじゅくれんど	固有名詞
製作熟練度	せいさくじゅくれんど	固有名詞
探索熟練度	たんさくじゅくれんど	固有名詞
移動熟練度	いどうじゅくれんど	固有名詞
体力熟練度	たいりょくじゅくれんど	固有名詞
防御熟練度	ぼうぎょじゅくれんど	固有名詞
再生熟練度	さいせいじゅくれんど	固有名詞
瞑想熟練度	めいそうじゅくれんど	固有名詞
狩り熟練度	かりじゅくれんど	固有名詞
#---アイテム等級---
一般等級	いっぱんとうきゅう	固有名詞
高級等級	こうきゅうとうきゅう	固有名詞
レア等級	れあとうきゅう	固有名詞
英雄等級	えいゆうとうきゅう	固有名詞
伝説等級	でんせつとうきゅう	固有名詞
神話等級	しんわとうきゅう	固有名詞
#---ステータス---
基本攻撃	きほんこうげき
攻撃速度	こうげきそくど	
移動速度	いどうそくど
致命打確率	ちめいだかくりつ	固有名詞
致命打ダメージ	ちめいだだめーじ	固有名詞
スキルダメージ	すきるだめーじ	固有名詞
ダメージ吸血	だめーじきゅうけつ	固有名詞
ダメージ減少	だめーじげんしょう	固有名詞
スキル増幅	すきるぞうふく	固有名詞
レベル比例	れべるひれい	
防御貫通	ぼうぎょかんつう	固有名詞
妨害効果	ぼうがいこうか
クールダウン	くーるだうん	
最大体力	さいだいたいりょく	固有名詞
体力回復	たいりょくかいふく	固有名詞
#---特性(trait)---
絶対武力	ぜったいぶりょく	固有名詞
狂奔	きょうほん	固有名詞
吸血鬼	きゅうけつき	固有名詞
霹靂	へきれき	固有名詞
アドレナリン	あどれなりん	固有名詞
徹甲弾	てっこうだん	固有名詞
劣勢克服	れっせいこくふく	固有名詞
復讐者	ふくしゅうしゃ	固有名詞
吸引	きゅういん	固有名詞
渇望	かつぼう	固有名詞
魂吸収装置	たましいきゅうしゅうそうち	固有名詞
金剛	こんごう	固有名詞
不壊	ふかい	固有名詞
忘却	ぼうきゃく	固有名詞
光の守護	ひかりのしゅご	固有名詞
応報	おうほう	固有名詞
大胆	だいたん	固有名詞
特攻隊	とっこうたい	固有名詞
堅固	けんこ	固有名詞
鈍感	どんかん	固有名詞
重装甲	じゅうそうこう	固有名詞
食いしん坊	くいしんぼう	固有名詞
超再生	ちょうさいせい	固有名詞
治癒ドローン	ちゆどろーん	固有名詞
増幅ドローン	ぞうふくどろーん	固有名詞
推進力	すいしんりょく	固有名詞
献身	けんしん	固有名詞
イバラの棘	いばらのとげ	固有名詞
集結	しゅうけつ	固有名詞
後方補給	こうほうほきゅう	固有名詞
テイアー	ていあー	固有名詞
市街戦	しがいせん	固有名詞
スプリンター	すぷりんたー	固有名詞
割引券	わりびきけん	固有名詞
