#表記	▼読み	クラス
#---FF14一般用語---
紅蓮のリベレイター	ぐれんのりべれいたー	固有名詞
蒼天のイシュガルド	そうてんのいしゅがるど	固有名詞
新生エオルゼア	しんせいえおるぜあ	固有名詞
漆黒のヴィランズ	しっこくのびらんず	固有名詞
暁月のフィナーレ	ぎょうげつのふぃなーれ	固有名詞
黄金のレガシー	おうごんのれがしー	固有名詞
シャキ	しゃき	固有名詞
床ペロ	ゆかぺろ	固有名詞
風脈	ふうみゃく	固有名詞
討滅戦	とうめつせん	固有名詞
討伐戦	とうばつせん	固有名詞
征魂戦	せいこんせん	固有名詞
頭割り	あたまわり	固有名詞
距離減衰	きょりげんすい	固有名詞
バフ	ばふ	固有名詞
デバフ	でばふ	固有名詞
ミラージュプリズム	みらーじゅぷりずむ	固有名詞
ミラプリ	みらぷり	固有名詞
コンテンツルーレット	こんてんつるーれっと	固有名詞
ロールクエスト	ろーるくえすと	固有名詞
トレジャーハント	とれじゃーはんと	固有名詞
トレハン	とれはん	固有名詞
モブハント	もぶはんと	固有名詞
リーヴ	りーぶ	固有名詞
ギルドリーヴ	ぎるどりーぶ	固有名詞
FATE	ふぇいと	固有名詞
リスキーモブ	りすきーもぶ	固有名詞
エターナルバンド	えたーなるばんど	固有名詞
フリーロット	ふりーろっと	固有名詞
タゲ	たげ	固有名詞
ヒカセン	ひかせん	固有名詞
ランダムターゲット	らんだむたーげっと	固有名詞
ランタゲ	らんたげ	固有名詞
リキャスト	りきゃすと	固有名詞
クールダウン	くーるだうん	固有名詞
冒険者小隊	ぼうけんしゃしょうたい	固有名詞
詩学	しがく	固有名詞
アラガントームストーン	あらがんとーむすとーん	固有名詞
トームストーン	とーむすとーん	固有名詞
バイカラージェム	ばいからーじぇむ	固有名詞
シタデルボズヤ	したでるぼずや	地名
エーテライト	えーてらいと	固有名詞
ヒールヘイト	ひーるへいと	固有名詞
位置取り	いちどり	
インスタンスダンジョン	いんすたんすだんじょん	固有名詞
ヴァリアントダンジョン	ばりあんとだんじょん	固有名詞
超える力	こえるちから	固有名詞
超える力	こえちか	固有名詞
ヘイト	へいと	固有名詞
敵視	てきし	固有名詞
アライアンスレイド	あらいあんすれいど	固有名詞
ノーマルレイド	のーまるれいど	固有名詞
Bアラ	びーあら	固有名詞
Aアラ	えーあら	固有名詞
Cアラ	しーあら	固有名詞
リミットブレイク	りみっとぶれいく	固有名詞
ヒーラー	ひーらー	役職名
タンク	たんく	役職名
DPS	でぃーぴーえす	役職名
LB1	えるびーいち	固有名詞
LB2	えるびーに	固有名詞
LB3	えるびーさん	固有名詞
クロの空想帳	くろのくうそうちょう	固有名詞
DCトラベル	でぃーしーとらべる	固有名詞
カララント	かららんと	固有名詞
アイテムレベル	あいてむれべる	固有名詞
IL	あいえる	固有名詞
グルポ	ぐるぽ	固有名詞
グループポーズ	ぐるーぷぽーず	固有名詞
幻想薬	げんそうやく	固有名詞
木人	もくじん	固有名詞
クリスタルコンフリクト	くりすたるこんふりくと	固有名詞
マテリア	まてりあ	固有名詞
