ハイデリン	はいでりん	名前
ゾディアーク	ぞでぃあーく	名前
ミンフィリア	みんふぃりあ	名前
アリゼー	ありぜー	名前
アルフィノ	あるふぃの	名前
タタル	たたる	名前(名)
クルル	くるる	名前
ヤ・シュトラ	やしゅとら	名前
グ・ラハ・ティア	ぐらはてぃあ	名前
ラハ	らは	名前
エスティニアン	えすてぃにあん	名前
サンクレッド	さんくれっど	名前
ウリエンジェ	うりえんじぇ	名前
フ・ラミン	ふらみん	名前
ヴリトラ	ぶりとら	名前
ゼノス	ぜのす	名前
アシエン	あしえん	固有名詞
ファダニエル	ふぁだにえる	名前
エメトセルク	えめとせるく	名前
ヒルディブランド	ひるでぃぶらんど	名前
ヘルメス	へるめす	名前
メーティオン	めーてぃおん	名前
レポリット	れぽりっと	固有名詞
ルイゾワ	るいぞわ	名前
ナナモ	ななも	名前
メルウィブ	めるびぶ	名前
エインザル	えいんざる	名前
霧髭	きりひげ	名前
ラウバーン	らうばーん	名前
カヌ・エ	かぬえ	名前
カヌ・エ・センナ	かぬえせんな	名前
モモディ	ももでぃ	名前
フフチャ	ふふちゃ	名前
トールダン	とーるだん	名前
アイメリク	あいめりく	名前
ルキア	るきあ	名前
オルシュファン	おるしゅふぁん	名前
イダ	いだ	名前
リセ	りせ	名前
フォルドラ	ふぉるどら	名前
水晶公	すいしょうこう	名前
ゴウセツ	ごうせつ	名前
ユウギリ	ゆうぎる	名前
ヒエン	ひえん	名前
シド	しど	名前
ビッグス	びっぐす	名前
ウェッジ	うぇっじ	名前
ネロ	ねろ	名前
リーン	りーん	名前
フェオ	ふぇお	名前
ガイア	がいあ	名前
ガイウス	がいうす	名前
ラハブレア	らばふれあ	名前
エリディブス	えりでぃぶす	名前
パパリモ	ぱぱりも	名前
ゴッドベルト	ごっどべると	名前
ロウェナ	ろうぇな	名前
ミューヌ	みゅーぬ	名前
イゼル	いぜる	名前
フルシュノ	ふるしゅの	名前
アメリアンス	あめりあんす	名前
アサヒ	あさひ	名前
シリナ	しりな	名前
マグナイ	まぐない	名前
サドゥ	さどぅ	名前
リットアティン	りっとあてぃん	名前
アモン	あもん	名前
ザンデ	ざんで	名前
ヒュトロダエウス	ひゅとろだえうす	名前
ヴェーネス	べーねす	名前
